Plant,TÊN CỬA HÀNG,Chi nhánh,TỈNH/TP (TRÊN SAP),Tier,Latitude,Longitude,Total View GMB,Tin nhắn FMB x ZMB,Chỉ đường GMB,Điểm 5* GMB
1556,"TTKH Ngã 6 Lý Công Uẩn, Lào Cai",Miền Bắc,Lào Cai,Tier 2,22.4858757,103.9712707,2900,1129,122,0.0
1557,"TTKH 56 Đường 30/4, Trảng Bom",Đông Nam Bộ,Đồng Nai,Tier 3,10.9562598,107.0073918,4784,935,255,5.0
1558,"TTKH 70A-70B Lê Lợi, Lagi",Tây Nguyên,Tây Nguyên,Tier 3,10.6648154,107.7747241,1025,636,107,0.0
1559,"TTKH 12-14 Trần Hưng Đạo, Phúc Yên",Miền Bắc,Vĩnh Phúc,Tier 2,21.2318083,105.7063312,6361,956,235,5.0
1560,"TTKH 293-295 Hoàng Diệu, Q4",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.7602517,106.6996904,10893,171,535,3.5
1561,"TTKH 112 Nam Kỳ Khởi Nghĩa, Mỹ Tho",Miền Tây,Tiền Giang,Tier 2,10.3568825,106.3618564,7189,1019,184,5.0
1562,"TTKH 241 đường 30/4, Tây Ninh",Đông Nam Bộ,Tây Ninh,Tier 2,11.3150483,106.0970343,5964,2135,176,5.0
1563,"TTKH 347 Nguyễn Hữu Thọ, Đà Nẵng",Miền Trung,Đà Nẵng,Tier 2,16.0370525,108.2103446,8887,173,248,5.0
1564,PNJ Aeon Mall Hà Đông 2,Miền Bắc,Hà Nội,Tier 1,20.9711523,105.779009,0,0,0,0.0
1565,PNJ Vincom Ninh Thuận,Tây Nguyên,Tây Nguyên,Tier 2,11.5634842,109.0092185,3412,384,100,5.0
1566,"TTKH 19 đường DT747, Hội Nghĩa",Đông Nam Bộ,Bình Dương,Tier 3,11.0947303,106.7714598,6898,251,505,5.0
1567,"TTKH 955 Kha Vạn Cân, Thủ Đức",Hồ Chí Minh,Thủ Đức,Tier 1,10.8517412,106.7547201,6703,442,311,4.5
1568,PNJ Thiso Mall,Hồ Chí Minh,Q02,Tier 1,10.7693924,106.7131959,4273,100,138,5.0
1569,"TTKH 54-56 Hùng Vương, Tháp Mười",Miền Tây,Đồng Tháp,Tier 3,10.5195178,105.8414064,1334,171,124,0.0
1570,"TTKH 1066 Nguyễn Tất Thành, Huế",Miền Trung,Thừa Thiên Huế,Tier 3,16.4105324,107.6751823,1876,223,131,0.0
1571,"TTKH 300 Quốc lộ 50, Cần Giuộc",Miền Tây,Long An,Tier 3,10.6013194,106.6663661,6580,494,244,5.0
1575,"TTKH 738 Hùng Vương, Đinh Văn",Tây Nguyên,Tây Nguyên,Tier 3,11.7862553,108.253432,2375,282,151,5.0
1576,TTKH Vincom Shophouse Bạc Liêu,Miền Tây,Bạc Liêu,Tier 2,9.2939476,105.7215267,3949,533,95,5.0
1577,"TTKH 449-451 Hồ Ngọc Lãm, Bình Tân",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.724786,106.6092606,14000,136,337,1.5
1578,TTKH 1/85 Đường 22/12 Thuận Giao,Đông Nam Bộ,Bình Dương,Tier 2,10.9486466,106.7204674,10878,493,416,4.79
1579,"TTKH 778 Phạm Văn Đồng, Pleiku",Tây Nguyên,Tây Nguyên,Tier 2,14.0288655,107.9898468,1756,0,65,5.0
1580,"TTKH 8-9 KP Khang Gia, Cần Đước",Miền Tây,Long An,Tier 3,10.5192925,106.6080595,3381,160,121,5.0
1581,"TTKH 34A-34B Đà Nẵng, Máy Tơ",Miền Bắc,Hải Phòng,Tier 1,20.8613081,106.6949247,5006,968,90,0.0
1582,"TTKH 8 Tỉnh Lộ 8, Củ Chi",Hồ Chí Minh,Củ Chi,Tier 2,10.9823642,106.5481977,4605,199,204,5.0
1583,TTKH 57/9 ấp Tiền Lân,Hồ Chí Minh,Hóc Môn,Tier 2,10.8346496,106.6064275,11707,607,281,5.0
1584,"TTKH 439A1 Phan Văn Trị, Gò vấp",Hồ Chí Minh,Gò Vấp,Tier 1,10.8232458,106.6914928,23333,695,406,5.0
1585,TTKH QL51 Mỹ Xuân - Phú Mỹ,Đông Nam Bộ,Bà Rịa – Vũng Tàu,Tier 3,10.7494146,106.9699814,4410,418,239,0.0
1586,"TTKH 100 Ngô Quyền, Bình Minh",Miền Tây,Vĩnh Long,Tier 3,10.0360309,105.7832198,3162,307,105,0.0
1587,PNJ Hùng Vương Plaza,Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.7561068,106.664256,13008,72,220,5.0
1588,"TTKH 42 Nguyễn Hoàng, Thăng Bình",Miền Trung,Quảng Nam,Tier 3,15.7416996,108.3595147,2186,370,128,5.0
1589,"TTKH 146 Nguyễn Huệ, Thoại Sơn",Miền Tây,An Giang,Tier 3,10.2680591,105.2672584,1562,186,80,0.0
1590,"TTKH 53A Phạm Thái Bường, Vĩnh Long",Miền Tây,Vĩnh Long,Tier 2,10.2443237,105.978573,6600,1407,208,5.0
1591,"TTKH 110 Nguyễn Huệ, Cao Lãnh",Miền Tây,Đồng Tháp,Tier 2,10.4559642,105.6360522,5398,2043,203,0.0
