Plant,TÊN CỬA HÀNG,Chi nhánh,TỈNH/TP (TRÊN SAP),Tier,Latitude,Longitude,Total View GMB,Tin nhắn FMB x ZMB,Chỉ đường GMB,Điểm 5* GMB
1101,"TTKH 304 Trường Chinh, Tân Bình",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.7978242,106.6443889,24891,407,545,5.0
1102,"TTKH 151/3 Nguyễn Ảnh Thủ, Hóc Môn",Hồ Chí Minh,Hồ Chí Minh,Tier 2,10.8590478,106.608132,21001,1559,434,3.0
1103,"TTKH 23-23A Nguyễn Ảnh Thủ, Q12",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.8787608,106.637862,17560,736,613,4.0
1104,"TTKH 230B Lê Văn Sỹ, Tân Bình",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.7951469,106.6675751,20626,345,682,5.0
1105,"TTKH 508-510 Lý Thường Kiệt, Tân Bình",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.7874071,106.6535,12349,424,412,5.0
1106,"TTKH 298-300 Hoàng Văn Thụ, Tân Bình",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.7984246,106.6586505,20991,1075,488,4.8
1107,PNJ Coop Củ Chi,Hồ Chí Minh,Hồ Chí Minh,Tier 2,10.9589961,106.5045037,4599,108,119,0.0
1108,"TTKH 126A Tỉnh Lộ 8, Củ Chi",Hồ Chí Minh,Hồ Chí Minh,Tier 2,10.9713233,106.4918396,7114,1195,256,5.0
1109,"TTKH 172-174 Lê Thánh Tôn, Q1",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.7731546,106.6973351,43278,1866,1974,3.75
1110,"TTKH 71 Ông Ích Khiêm, Q11",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.766161,106.643716,11340,527,309,5.0
1111,"TTKH 142 Âu Cơ, Tân Bình",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.771346,106.6504169,25749,667,481,0.0
1112,"TTKH A27/7 Quốc lộ 50, Bình Chánh",Hồ Chí Minh,Hồ Chí Minh,Tier 2,10.7238964,106.6559426,16519,353,494,4.0
1113,"TTKH 5 Tân Mỹ, Q7",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.7378988,106.718463,23527,588,526,2.33
1114,"TTKH 241-243 Phạm Hùng, Q8",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.738242,106.670471,14355,732,481,5.0
1115,"TTKH 282 Phan Đình Phùng, Đà Lạt",Tây Nguyên,Tây Nguyên,Tier 2,11.9507513,108.4340464,15982,1569,535,4.0
1116,"TTKH 358 Bạch Đằng, Bình Thạnh",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.8031547,106.6994309,10768,382,402,0.0
1117,"TTKH 202-208 Tân Hương, Tân Phú",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.7900872,106.6225358,18029,537,385,4.33
1118,"TTKH 182B-182C Hòa Bình, Tân Phú",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.7708801,106.630635,11640,598,297,1.0
1119,"TTKH 699-701 Lũy Bán Bích, Tân Phú",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.7817669,106.6357795,14140,251,407,4.77
1120,"TTKH 127N-127P Đinh Tiên Hoàng, BT",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.798043,106.694719,18573,409,450,4.2
1121,"TTKH 229-231 Xô Viết Nghệ Tĩnh, Bình Thạnh",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.8003889,106.710993,29913,265,652,4.78
1122,"TTKH 317A Lê Quang Định, Bình Thạnh",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.8112892,106.69078,13579,573,424,5.0
1124,PNJ Aeon Bình Tân,Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.7427497,106.6119309,17105,840,264,3.7
1127,PNJ Vạn Hạnh Mall,Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.7712347,106.6698295,6857,789,111,3.0
1128,PNJ CoopExtra Sư Vạn Hạnh,Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.7709514,106.6698336,8804,0,178,0.0
1130,PNJ Aeon Tân Phú,Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.8015819,106.6174433,10060,1271,195,1.0
1131,PNJ Tasco Mall Hà Nội,Miền Bắc,Hà Nội,Tier 1,21.051022,105.8927767,13442,1056,179,5.0
1133,"TTKH 403 Thống Nhất, Gò Vấp",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.8519786,106.6654599,21368,632,407,4.75
1134,"PNJ NEXT 362 Nguyễn Văn Nghi, Gò Vấp",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.8245847,106.6865292,40852,2103,1109,4.4
1135,"TTKH 632-632A Quang Trung, Gò Vấp",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.8361706,106.6599802,21108,898,394,1.0
1136,"TTKH 411-413 Quang Trung, Gò Vấp",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.8309748,106.6688945,10569,433,366,4.5
1137,"TTKH 375 Nguyễn Oanh, Gò Vấp",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.8442179,106.6772349,12449,122,296,0.0
1138,"TTKH 255A-255B Hậu Giang, Q6",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.7496198,106.6432596,19465,560,434,1.0
1139,"TTKH 909 Hậu Giang, Q6",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.7460534,106.6276795,27935,469,381,2.67
1140,"TTKH 56B-56C Bà Hom, Q6",Hồ Chí Minh,Hồ Chí Minh,Tier 1,10.7571778,106.6263198,15104,877,328,4.0
